Wavelength (A),Transmittance
3000,2.71E-06
3005,2.79E-06
3010,1.69E-06
3015,3.82E-06
3020,3.38E-06
3025,2.12E-06
3030,2.60E-06
3035,2.07E-06
3040,2.72E-06
3045,4.08E-06
3050,3.34E-06
3055,3.26E-06
3060,2.53E-06
3065,2.58E-06
3070,2.42E-06
3075,3.01E-06
3080,2.23E-06
3085,2.95E-06
3090,2.78E-06
3095,2.63E-06
3100,3.18E-06
3105,3.20E-06
3110,2.72E-06
3115,4.13E-06
3120,1.15E-06
3125,4.74E-06
3130,3.46E-06
3135,2.90E-06
3140,3.56E-06
3145,2.03E-06
3150,3.44E-06
3155,2.68E-06
3160,0.000001896
3165,3.18E-06
3170,3.76E-06
3175,2.87E-06
3180,3.22E-06
3185,1.55E-06
3190,2.56E-06
3195,3.00E-06
3200,3.14E-06
3205,3.11E-06
3210,3.39E-06
3215,3.07E-06
3220,1.61E-06
3225,3.34E-06
3230,4.06E-06
3235,2.95E-06
3240,3.82E-06
3245,2.97E-06
3250,3.62E-06
3255,3.07E-06
3260,2.59E-06
3265,1.79E-06
3270,1.38E-06
3275,3.38E-06
3280,2.24E-06
3285,2.80E-06
3290,3.22E-06
3295,2.93E-06
3300,3.08E-06
3305,3.17E-06
3310,4.54E-06
3315,3.07E-06
3320,3.60E-06
3325,3.55E-06
3330,3.14E-06
3335,3.32E-06
3340,2.25E-06
3345,3.31E-06
3350,3.69E-06
3355,3.12E-06
3360,3.23E-06
3365,2.40E-06
3370,2.10E-06
3375,4.07E-06
3380,3.03E-06
3385,3.08E-06
3390,2.63E-06
3395,3.30E-06
3400,3.51E-06
3405,2.87E-06
3410,2.40E-06
3415,3.06E-06
3420,3.06E-06
3425,4.20E-06
3430,2.70E-06
3435,2.17E-06
3440,2.72E-06
3445,3.08E-06
3450,3.05E-06
3455,2.51E-06
3460,3.59E-06
3465,2.63E-06
3470,2.56E-06
3475,3.39E-06
3480,2.53E-06
3485,3.78E-06
3490,2.23E-06
3495,-5.02E-06
3500,3.48E-06
3505,3.10E-06
3510,3.09E-06
3515,1.89E-06
3520,2.70E-06
3525,3.72E-06
3530,2.22E-06
3535,2.97E-06
3540,3.30E-06
3545,1.55E-06
3550,3.55E-06
3555,3.33E-06
3560,2.56E-06
3565,3.01E-06
3570,0.000003873
3575,2.77E-06
3580,2.43E-06
3585,4.37E-06
3590,1.48E-06
3595,2.99E-06
3600,2.52E-06
3605,3.51E-06
3610,1.64E-06
3615,2.17E-06
3620,2.87E-06
3625,2.76E-06
3630,3.30E-06
3635,1.91E-06
3640,0.000002659
3645,3.44E-06
3650,1.75E-06
3655,2.67E-06
3660,2.82E-06
3665,3.87E-06
3670,1.60E-06
3675,3.47E-06
3680,3.42E-06
3685,3.52E-06
3690,2.62E-06
3695,2.82E-06
3700,2.21E-06
3705,1.93E-06
3710,3.09E-06
3715,2.29E-06
3720,2.69E-06
3725,2.68E-06
3730,3.64E-06
3735,2.03E-06
3740,2.92E-06
3745,3.52E-06
3750,2.95E-06
3755,3.37E-06
3760,3.25E-06
3765,2.29E-06
3770,1.85E-06
3775,2.82E-06
3780,2.54E-06
3785,2.89E-06
3790,3.06E-06
3795,2.32E-06
3800,2.76E-06
3805,2.27E-06
3810,2.57E-06
3815,2.45E-06
3820,1.43E-06
3825,2.83E-06
3830,2.13E-06
3835,2.37E-06
3840,2.97E-06
3845,2.77E-06
3850,2.68E-06
3855,3.02E-06
3860,2.00E-06
3865,2.62E-06
3870,3.22E-06
3875,3.83E-06
3880,3.34E-06
3885,3.19E-06
3890,4.42E-06
3895,3.60E-06
3900,1.85E-06
3905,2.62E-06
3910,2.46E-06
3915,3.42E-06
3920,2.50E-06
3925,2.62E-06
3930,3.69E-06
3935,2.71E-06
3940,3.34E-06
3945,3.12E-06
3950,1.64E-06
