Wavelength (A),Sky (erg/s/cm^2/A/arcsec^2)
4805.63841,7.68E-18
4823.720748,7.54E-18
4841.797092,7.54E-18
4859.880813,7.37E-18
4877.95024,7.53E-18
4896.023357,7.61E-18
4914.101084,7.57E-18
4932.176966,7.59E-18
4950.25331,7.59E-18
4962.302823,7.62E-18
4971.318863,8.12E-18
4987.880268,8.32E-18
4999.356838,7.67E-18
5013.533424,7.29E-18
5031.609306,7.30E-18
5046.668777,7.40E-18
5058.7146,7.51E-18
5076.778034,7.81E-18
5094.8553,7.79E-18
5106.919106,7.49E-18
5115.960044,7.43E-18
5129.516841,7.44E-18
5140.049848,7.70E-18
5158.338554,7.77E-18
5168.678564,7.52E-18
5170.197836,7.23E-18
5186.741075,7.84E-18
5198.328779,8.59E-18
5215.348582,8.14E-18
5233.422159,8.21E-18
5252.579152,8.10E-18
5269.590984,7.84E-18
5287.656723,8.08E-18
5305.719696,8.39E-18
5323.795117,8.41E-18
5337.332548,8.86E-18
5341.507666,9.84E-18
5344.469486,1.10E-17
5346.238389,1.19E-17
5348.703806,1.29E-17
5353.631874,1.50E-17
5354.880674,1.41E-17
5363.260695,1.30E-17
5363.558094,1.20E-17
5371.883891,1.10E-17
5388.477388,1.05E-17
5404.050045,1.03E-17
5417.893021,1.15E-17
5435.143255,1.12E-17
5448.682531,1.16E-17
5451.651913,1.26E-17
5452.219877,1.34E-17
5457.444283,1.79E-17
5457.474945,1.72E-17
5457.508143,1.65E-17
5457.541341,1.57E-17
5457.574539,1.50E-17
5458.452812,2.24E-17
5458.48601,2.17E-17
5458.519209,2.09E-17
5458.540357,2.35E-17
5458.552407,2.02E-17
5458.585605,1.94E-17
5458.616589,1.87E-17
5459.109027,1.43E-17
5459.856906,3.17E-17
5459.937319,2.98E-17
5459.970517,2.91E-17
5460.003715,2.83E-17
5460.036913,2.76E-17
5460.070111,2.68E-17
5460.32787,3.07E-17
5460.415924,3.27E-17
5461.611331,2.60E-17
5461.644529,2.52E-17
5461.677727,2.45E-17
5469.251035,2.35E-17
5469.284233,2.28E-17
5469.317431,2.20E-17
5469.350629,2.12E-17
5469.417025,1.97E-17
5470.901255,2.02E-17
5470.970418,1.87E-17
5471.003616,1.79E-17
5471.036814,1.71E-17
5471.070012,1.64E-17
5471.10321,1.56E-17
5471.136408,1.49E-17
5471.169606,1.41E-17
5472.704555,1.34E-17
5472.737753,1.27E-17
5473.52736,1.19E-17
5483.351219,1.11E-17
5494.797733,1.02E-17
5509.022311,9.67E-18
5519.572531,9.54E-18
5535.544795,9.43E-18
5549.686246,9.85E-18
5557.9853,9.53E-18
5563.974092,1.04E-17
5567.840052,1.96E-17
5568.000325,1.13E-17
5568.883946,1.87E-17
5569.012128,1.57E-17
5569.045326,1.50E-17
5569.078524,1.42E-17
5569.111722,1.34E-17
5569.14492,1.27E-17
