Default Dataset,,Red DS,
X,Y,X,Y
4805.638410116567,7.679910282068211e-18,4971.318862625512,8.122745846877319e-18
4823.720747997398,7.542842131055857e-18,4987.8802682643645,8.318858739864198e-18
4841.797091784024,7.542842131055857e-18,4999.35683768041,7.673584059713798e-18
4859.880812917364,7.374142868271446e-18,5058.714600476043,7.511211019283775e-18
4877.950240441445,7.532298427131842e-18,5076.778033905919,7.806434729156526e-18
4896.023356638883,7.60610435460002e-18,5094.855299860885,7.785347321308472e-18
4914.101083678019,7.574473242827939e-18,5106.919106075386,7.490123611435733e-18
4932.176966380474,7.585016946751966e-18,5140.049848000806,7.700997689916254e-18
4950.253310167101,7.585016946751966e-18,5158.338553982136,7.765766156878137e-18
4962.302822772343,7.616648058524048e-18,5168.678564093848,7.521754723207815e-18
5013.533423777041,7.289793236879228e-18,5337.332548412813,8.860805121559164e-18
5031.609306479498,7.300336940803255e-18,5341.507665568916,9.83715210492401e-18
5046.668776544159,7.395230276119488e-18,5344.469485841026,1.1001177018136535e-17
5115.960044473716,7.42686138789157e-18,5348.703806204511,1.2920131132309333e-17
5129.516841229516,7.437405091815597e-18,5346.238389149438,1.188684814775475e-17
5170.197836432817,7.226531013335065e-18,5354.880674174697,1.4050416192964975e-17
5186.741075355385,7.838065840928608e-18,5353.63187380964,1.5049959324962676e-17
5198.328779230147,8.5881750629522e-18,5363.260694524264,1.3025568171549606e-17
5215.3485815766235,8.143833254725361e-18,5363.558093813683,1.1965925927184948e-17
5233.422158858231,8.207095478269524e-18,5371.8838906649,1.1032808129908604e-17
5252.579152200163,8.100152195611544e-18,5388.477387761958,1.0495079229783264e-17
5269.590984377421,7.838065840928608e-18,5404.05004450743,1.0336923670922868e-17
5287.656723228145,8.08057103118121e-18,5417.893020837854,1.1458070854844333e-17
5305.719695573851,8.386338444977975e-18,5435.143255487206,1.1212051096617055e-17
5323.795117192138,8.40742585282603e-18,5448.682531044559,1.162325554965408e-17
5519.572531484987,9.542631308646198e-18,5452.2198765772155,1.340514151281455e-17
5535.544794510815,9.432273874241399e-18,5451.651913097051,1.2614363718512568e-17
5549.68624599372,9.851913290417639e-18,5458.540356896772,2.3498980736082522e-17
5557.985299963098,9.530330320734839e-18,5458.452812382429,2.2438987034920395e-17
5563.974091700487,1.036855478269495e-17,5458.486010442643,2.1679840352390495e-17
5568.000324778213,1.1304835691148487e-17,5458.5192085028575,2.0920693669860583e-17
5573.281997833041,3.003519852698523e-17,5458.552406563072,2.0161546987330683e-17
5567.840051920846,1.956266460444598e-17,5458.585604623286,1.9402400304800783e-17
5568.883946480914,1.865590606697971e-17,5458.616589479486,1.8693863401106206e-17
5569.571146327348,1.672008202652847e-17,5457.444282978172,1.7944206052107927e-17
